Treatment,target,botton_score,max,min,range,mean,std,median,non_zero_per_row
Brevis,0.4,0.5366,17.32,6.61,10.71,12.158,3.8585,12.19,5
Brevis,1.0,0.0345,15.71,13.11,2.6,14.56,1.3257,14.86,3
Brevis,1.0,0.356,16.67,7.51,9.16,12.53,3.9553,12.97,4
UTC,0.0,0.1045,11.84,8.79,3.05,9.81,1.3815,9.305,4
UTC,0.4,0.2421,11.87,4.96,6.91,9.066,3.1951,10.89,5
UTC,0.33,0.2883,14.84,7.41,7.43,11.7333,3.8615,12.95,3
UTC,0.8,0.6012,17.45,6.24,11.21,10.43,4.2068,9.28,5
UTC,0.33,0.0919,17.85,13.0,4.85,15.5133,2.4298,15.69,3
UTC,0.6,0.8635,13.36,5.85,7.51,8.142,3.2718,6.24,5
UTC,0.67,0.2031,13.75,8.61,5.14,11.4667,2.6175,12.04,3
UTC,0.2,0.3197,19.7,10.47,9.23,14.458,3.4289,13.6,5
UTC,0.4,0.5782,17.92,5.11,12.81,12.676,4.684,13.77,5
UTC,0.4,0.2709,18.92,10.98,7.94,13.216,3.3287,11.79,5
UTC,0.0,0.0039,19.51,14.89,4.62,16.4533,2.6474,14.96,3
UTC,0.67,0.5102,17.32,5.99,11.33,11.1133,5.7422,10.03,3
UTC,0.4,0.2561,19.06,10.72,8.34,14.778,3.4879,16.08,5
UTC,0.5,0.5243,16.5,6.25,10.25,11.0325,4.9149,10.69,4
UTC,0.0,0.104,19.07,13.7,5.37,16.385,2.2235,16.385,4
UTC,0.33,0.1678,19.04,11.04,8.0,15.63,4.1285,16.81,3
UTC,0.25,0.0529,19.97,15.47,4.5,17.0975,1.9813,16.475,4
UTC,0.33,0.1524,20.23,12.28,7.95,16.7,4.049,17.59,3
UTC,0.67,0.231,17.17,8.94,8.23,12.3933,4.2716,11.07,3
UTC,0.25,0.4779,17.84,7.09,10.75,12.765,4.4737,13.065,4
UTC,0.2,0.4286,17.37,6.56,10.81,12.794,3.9957,12.72,5
UTC,0.4,0.5438,17.21,6.29,10.92,12.154,3.936,12.77,5
UTC,0.4,0.1235,16.4,5.85,10.55,12.17,4.7386,14.19,5
UTC,0.0,0.0752,16.92,12.33,4.59,14.9933,2.382,15.73,3
UTC,0.4,0.3864,14.49,5.62,8.87,11.308,3.3717,12.09,5
UTC,0.5,0.1799,15.07,10.1,4.97,12.16,2.1053,11.735,4
UTC,0.5,0.1283,17.2,11.86,5.34,14.0125,2.2666,13.495,4
UTC,0.5,0.1863,14.54,8.71,5.83,12.03,2.5454,12.435,4
UTC,0.5,0.0102,15.85,12.46,3.39,13.3725,1.6528,12.59,4
UTC,0.25,0.1738,17.61,9.65,7.96,14.68,3.4838,15.73,4
UTC,0.5,0.4481,11.78,5.2,6.58,8.3975,3.2864,8.305,4
UTC,0.0,0.1058,18.8,12.98,5.82,15.62,2.9473,15.08,3
UTC,0.5,0.063,13.28,10.9,2.38,11.7225,1.097,11.355,4
UTC,0.25,0.082,16.23,12.21,4.02,13.8225,1.7055,13.425,4
UTC,0.5,0.3276,16.61,8.45,8.16,12.9725,3.3813,13.415,4
UTC,0.67,0.3629,14.49,7.46,7.03,11.0733,3.5191,11.27,3
UTC,0.67,0.1809,13.25,5.6,7.65,10.4767,4.2366,12.58,3
UTC,0.0,0.1353,14.33,10.29,4.04,12.04,1.6843,11.77,4
UTC,0.0,0.0522,12.78,10.17,2.61,11.374,1.1573,10.92,5
UTC,0.6,0.5007,17.97,8.0,9.97,12.274,4.1424,12.52,5
UTC,0.4,0.408,16.86,7.17,9.69,12.008,4.21,13.13,5
UTC,0.4,0.5135,18.01,6.79,11.22,12.502,4.5275,14.01,5
UTC,0.2,0.1851,17.44,12.0,5.44,13.918,2.2015,12.95,5
UTC,0.25,0.0607,17.7,12.89,4.81,14.5325,2.152,13.77,4
UTC,0.6,0.1911,13.89,7.78,6.11,10.496,2.8301,8.91,5
UTC,0.4,0.0807,18.25,13.89,4.36,15.686,1.6258,15.73,5
UTC,0.5,0.1333,19.0,13.16,5.84,15.79,2.5993,15.5,4
Brevis,0.25,0.0265,8.4,7.38,1.02,7.685,0.4815,7.48,4
Brevis,0.5,0.2943,8.08,3.8,4.28,6.6475,1.947,7.355,4
Brevis,0.6,0.2574,10.29,4.03,6.26,7.93,2.479,7.75,5
Brevis,0.8,0.9222,8.32,3.6,4.72,6.082,1.7043,6.06,5
Brevis,0.8,0.3169,7.78,5.45,2.33,6.218,0.9312,6.04,5
Brevis,0.6,0.197,7.65,5.86,1.79,6.668,0.6648,6.67,5
Brevis,0.8,0.1772,10.47,7.68,2.79,9.024,1.049,8.97,5
Brevis,0.75,0.0518,10.34,8.06,2.28,8.6975,1.1002,8.195,4
Brevis,1.0,0.1202,9.95,7.2,2.75,8.6825,1.2622,8.79,4
Brevis,0.6,0.2906,11.07,6.04,5.03,9.082,1.8985,9.18,5
Brevis,1.0,0.4059,9.49,5.65,3.84,7.694,1.3999,7.95,5
Brevis,1.0,0.1646,10.2,7.71,2.49,8.826,1.014,8.98,5
Brevis,0.6,0.2008,10.92,7.35,3.57,9.454,1.2974,9.7,5
Brevis,0.25,0.1474,10.34,7.96,2.38,8.9275,1.1309,8.705,4
Brevis,0.8,0.7019,8.42,3.35,5.07,6.5,1.9232,7.08,5
Brevis,1.0,0.6211,8.91,4.63,4.28,6.872,1.5789,7.28,5
Brevis,0.4,0.1704,7.46,5.83,1.63,6.508,0.5967,6.38,5
Brevis,1.0,0.5996,6.82,4.14,2.68,5.3883,1.012,5.57,6
Brevis,1.0,0.6522,9.22,4.38,4.84,7.11,1.7382,7.29,5
Brevis,0.75,0.7313,10.29,3.41,6.88,7.645,2.9695,8.44,4
Brevis,1.0,0.235,11.54,7.9,3.64,9.55,1.4539,9.49,5
Brevis,0.8,0.2658,10.66,6.99,3.67,8.83,1.3075,8.96,5
Brevis,0.75,0.0044,12.09,11.43,0.66,11.8,0.2877,11.84,4
Brevis,1.0,0.0575,10.52,6.83,3.69,9.42,1.5409,10.25,5
Brevis,0.8,0.2255,10.48,7.68,2.8,8.554,1.1645,8.06,5
Brevis,0.67,1.0767,7.84,3.38,4.46,5.4767,1.7655,5.91,6
Brevis,0.8,0.1289,8.65,6.08,2.57,7.758,0.989,7.92,5
Brevis,1.0,0.0066,12.61,10.8,1.81,11.798,0.8092,11.86,5
Brevis,1.0,0.3094,7.45,5.09,2.36,6.33,0.8784,6.35,5
Brevis,1.0,0.6772,9.49,3.69,5.8,7.1767,1.9556,7.71,6
Brevis,1.0,0.0103,10.73,8.11,2.62,9.6583,0.972,9.515,6
Brevis,1.0,0.0477,12.51,10.72,1.79,11.42,0.6817,11.3,5
Brevis,1.0,0.068,10.27,7.89,2.38,8.468,1.0145,8.1,5
Brevis,0.8,0.2253,8.75,6.5,2.25,7.356,0.8871,7.32,5
Brevis,0.2,0.0892,12.47,9.8,2.67,10.976,0.9586,10.88,5
Brevis,0.25,0.025,10.01,7.52,2.49,9.1125,1.153,9.46,4
Brevis,1.0,0.3789,8.16,3.21,4.95,6.55,2.0265,7.6,5
Brevis,1.0,0.7307,10.18,4.25,5.93,7.172,2.6944,8.23,5
Brevis,0.6,0.6677,10.77,5.14,5.63,7.672,2.2894,7.31,5
Brevis,1.0,0.013,10.59,9.08,1.51,10.044,0.6228,10.28,5
Brevis,1.0,0.1356,10.43,7.53,2.9,9.0817,1.0355,9.13,6
Brevis,1.0,0.5312,10.36,5.6,4.76,7.872,1.722,7.85,5
Brevis,1.0,0.0415,8.54,7.45,1.09,8.066,0.3922,8.13,5
Brevis,1.0,0.2365,9.93,4.43,5.5,8.282,2.2135,9.05,5
Brevis,0.6,0.0374,10.07,6.68,3.39,9.158,1.4076,9.66,5
Brevis,1.0,0.2984,10.43,6.68,3.75,8.204,1.3703,7.98,5
Brevis,1.0,0.4356,9.8,5.6,4.2,7.824,1.5018,8.06,5
Brevis,0.6,0.3314,11.68,7.02,4.66,9.41,1.7374,9.6,5
Brevis,0.8,0.6697,9.46,3.93,5.53,6.812,2.5924,8.14,5
Brevis,1.0,0.1962,10.56,7.53,3.03,9.0,1.1627,8.92,5
Brevis,1.0,0.0214,9.84,4.78,5.06,8.2725,2.3907,9.235,4
Brevis,0.8,0.0029,10.81,7.66,3.15,9.618,1.3187,9.74,5
Brevis,1.0,0.3192,10.87,6.98,3.89,8.378,1.5399,8.38,5
